n_cod_contrato,grupo_convocatoria_item,monto_adjudicado_item_soles,reduccion_adjudicacion_pct,numero_ofertantes,dias_convocatoria_buenapro_limpio,dias_buenapro_consentimiento_limpio,plazo_contractual_original_dias,anio_inicio_contractual,nivel_gobierno_modelo,sistema_contratacion,tipo_proceso_seleccion,tipo_proveedor,provincia,etiqueta_costo,etiqueta_plazo,etiqueta_costo_5pct,tipo_intervencion_texto,nivel_educativo_texto,es_saldo_obra_texto,es_paquete_texto,es_ioarr_texto
1243229,549494_1,789558.84,10.000000000000002,24,26,10.0,119.0,2019,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Natural,LIMA,0.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
1247826,551086_1,122337.22,9.999997057314097,6,15,9.0,21.0,2019,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Natural,LIMA,0.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
1254619,563184_1,166137.52,9.999997833120366,14,20,7.0,63.0,2019,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
1263480,573780_1,5845792.0,9.999999938417247,8,27,8.0,209.0,2019,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,PRIMARIA,0,0,0
1264390,552872_1,6792655.91,9.999999933751981,7,93,13.0,365.0,2019,GOBIERNO REGIONAL,Suma alzada,Licitación Pública,Persona Juridica,HUAURA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
1268418,585312_1,189753.88,0.0,16,14,8.0,46.0,2020,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,PRIMARIA,0,0,0
1271217,594170_1,3042634.96,2.447873614115098,1,1,,149.0,2020,GOBIERNO NACIONAL,Suma alzada,Contratación Directa,Consorcio,LIMA,0.0,0.0,0,MEJORAMIENTO O AMPLIACION,PRIMARIA,0,0,0
1276028,599334_1,7172106.0,0.9999999296022642,1,1,3.0,153.0,2020,GOBIERNO NACIONAL,Suma alzada,Contratación Directa,Persona Juridica,LIMA,0.0,1.0,0,SALDO DE OBRA,NO ESPECIFICADO,1,0,0
1287330,599276_1,133543.92,9.999991912772229,11,17,8.0,92.0,2020,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,YAUYOS,0.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2010976,652239_1,2857359.82,2.9999998947629973,1,18,0.0,152.0,2020,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,OYON,0.0,1.0,0,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2020387,642781_4,119954.71,9.999992497167675,7,26,7.0,70.0,2020,GOBIERNO NACIONAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,CAJATAMBO,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,1,0
2024360,660893_1,417399.57,9.999998059413382,17,15,8.0,67.0,2020,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,CAÑETE,1.0,0.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2032176,648473_1,6830376.5,9.99999997364713,8,64,13.0,242.0,2020,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Consorcio,CAÑETE,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2035955,650926_1,1597332.78,9.999999492904658,28,33,8.0,135.0,2020,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,1
2035956,650926_1,1597332.78,9.999999492904658,28,33,8.0,90.0,2020,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,1
2035958,655708_1,852570.79,9.999999261058418,31,41,8.0,62.0,2020,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2035959,655708_1,852570.79,9.999999261058418,31,41,8.0,90.0,2020,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2036477,674834_1,850379.73,0.0,1,17,1.0,90.0,2021,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2036480,652341_1,1776341.88,10.000000000000004,31,56,13.0,120.0,2020,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,REPARACION O REFORZAMIENTO,NO ESPECIFICADO,0,0,0
2036490,652341_1,1776341.88,10.000000000000004,31,56,13.0,105.0,2020,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,REPARACION O REFORZAMIENTO,NO ESPECIFICADO,0,0,0
2044636,650742_1,995662.63,9.99999990960794,27,61,9.0,90.0,2021,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2044637,650742_1,995662.63,9.99999990960794,27,61,9.0,82.0,2021,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2051287,673487_1,715242.25,9.999999874168505,20,114,10.0,104.0,2021,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,LIMA,1.0,0.0,1,REPARACION O REFORZAMIENTO,NO ESPECIFICADO,0,0,0
2055847,703805_1,3055253.92,9.999999793797823,2,19,7.0,184.0,2021,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,CAÑETE,1.0,0.0,0,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2056188,705410_1,4330174.61,0.0,2,14,10.0,190.0,2021,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,HUAROCHIRI,1.0,1.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2065625,716320_1,961444.35,0.0,8,14,8.0,120.0,2021,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,1.0,1,MEJORAMIENTO O AMPLIACION,NO ESPECIFICADO,0,0,0
2067069,720975_1,393155.9,0.0,4,14,7.0,59.0,2021,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,1.0,0,SALDO DE OBRA,NO ESPECIFICADO,1,0,0
2067579,719533_1,6676225.28,0.2104943449539205,1,20,1.0,219.0,2021,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación-Nueva Convocatoria por Desierto ,Consorcio,HUAROCHIRI,1.0,1.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2070415,718655_1,3718231.86,9.999999927384843,3,35,12.0,270.0,2021,GOBIERNO LOCAL,Suma alzada,Licitación Pública,Consorcio,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2071349,701839_1,1486104.73,9.999999576072943,59,111,8.0,93.0,2021,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,1
2071351,701839_1,1486104.73,9.999999576072943,59,111,8.0,92.0,2021,GOBIERNO NACIONAL,Suma alzada,Adjudicación Simplificada,Consorcio,LIMA,1.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,1
2085354,727763_1,335567.04,9.99998632165813,9,23,7.0,126.0,2021,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2085367,727763_1,335567.04,9.99998632165813,9,23,7.0,126.0,2021,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2085371,727763_1,335567.04,9.99998632165813,9,23,7.0,126.0,2021,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2085372,727763_1,335567.04,9.99998632165813,9,23,7.0,126.0,2021,GOBIERNO NACIONAL,Precios unitarios,Procedimiento Especial de Contratación,Consorcio,LIMA,1.0,0.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2090073,741385_1,25441528.57,9.99989386002585,2,51,13.0,420.0,2021,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Consorcio,LIMA,1.0,1.0,0,MEJORAMIENTO O AMPLIACION,VARIOS NIVELES,0,0,0
2090099,714166_1,2316308.64,9.999999766870433,6,51,13.0,122.0,2021,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,SALDO DE OBRA,INICIAL,1,0,0
2093892,760747_1,3703246.09,0.0,1,18,1.0,180.0,2022,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación,Consorcio,CAÑETE,1.0,0.0,0,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2094813,754605_1,393326.14,0.0,2,13,10.0,62.0,2021,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Consorcio,CAÑETE,1.0,1.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
2096351,764415_1,4534871.22,10.000000000000002,2,14,9.0,212.0,2022,GOBIERNO LOCAL,Suma alzada,Procedimiento Especial de Contratación-Nueva Convocatoria por Desierto ,Consorcio,HUAROCHIRI,1.0,1.0,1,REHABILITACION O RECONSTRUCCION,NO ESPECIFICADO,0,0,0
2098554,747059_1,2773831.1,9.999999837769494,11,49,14.0,86.0,2022,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,1,0
2098558,747059_1,2773831.1,9.999999837769494,11,49,14.0,120.0,2022,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,1,0
2098574,741441_1,18733536.41,9.999999932740948,4,92,17.0,359.0,2022,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Consorcio,LIMA,1.0,0.0,1,MEJORAMIENTO O AMPLIACION,PRIMARIA,0,0,0
2098580,747059_1,2773831.1,9.999999837769494,11,49,14.0,135.0,2022,GOBIERNO NACIONAL,Suma alzada,Licitación Pública,Persona Juridica,LIMA,1.0,0.0,1,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,1,0
2118354,788435_1,186185.95,9.999992265795974,4,15,12.0,30.0,2022,GOBIERNO LOCAL,Suma alzada,Adjudicación Simplificada,Persona Juridica,HUAURA,1.0,0.0,0,CREACION O CONSTRUCCION,NO ESPECIFICADO,0,0,0
